Proveedor,Rama Especialización,No. de Registro,Fecha Registro Padrón,Dirección,Colonia,Código Postal,Entidad Federativa,Correo Electrónico,Telefono
GABRIELA MARGARITA CABRERO DAVILA,Sistemas fotovoltaicos,1940SFV,2021-12-17,LATERAL RECTA NORTE A CHOLULA NO. 4002,EX HACIENDA SANTA TERESA,72760,Puebla,gcabrero@altekenergy.com,222 604 91 38
GASADI S.A. DE C.V.,Sistemas fotovoltaicos,1514SFV,2022-02-25,CARIBE 29,AGRICOLA,45236,JALISCO,"luis.martinez@grupogasadi.com, gasadi.losmochis@hotmail.com",33 3563 4670 
GEA SOLARIS SA DE CV,Sistemas fotovoltaicos,2122SFV,2021-07-16,PERIFÉRICO PASEO DE LA REPÚBLICA 3060 INT 6,EX HACIENDA LA HUERTA,58058,Michoacán,pedro.chavez@geasolaris.com,4433273101
GECKO LOGIC MEXICO S DE RL DE CV,Sistemas fotovoltaicos,1884SFV,2020-11-22,VIA RAPIDA ORIENTE 1100 INTERIOR 5,RIO TIJUANA 3RA ETAPA,22226,Baja California,victor.sotelo@geckologicmexico.com,6642588491
GENERACION DE ENERGIA RENOVABLE DE MEXICO S.A. DE C.V.,Sistemas fotovoltaicos,1827SFV,2020-10-07,BLVD TAMAULIPAS  NO. 3228 LOC 7 ,FRACC DEL VALLE,87029,TAMAULIPAS,alejandro.mata@genergy.com.mx,834 119 0935
"GENERACION ENERGETICA SUSTENTABLE DE MEXICO, S.A. DE C.V.",Sistemas fotovoltaicos,2128SFV,2021-08-20,RUFINO TAMAYO #68,POBLADO ACAPATZINGO,62440,Morelos,gensumex.cuernavaca@gmail.com,7773611185
GERARDO BERNI MEDINA,Sistemas fotovoltaicos,1522SFV,2022-11-11,CERRADA COMERCIANTES 205,PARQUE INDUDTRIAL CHICHIMECO,20916,AGUASCALIENTES,"gberni@esolar.mx, finanzas@esolar.mx,",01 449 996 9721
GERARDO CORREA BAEZA,Sistemas fotovoltaicos,1946SFV,2019-06-27,CALLE ANTONIO RULLAN FERRER No. 217,MAYITO,86098,Tabasco,comatsaire@yahoo.com,01  993 312 5386
GERARDO IVAN CONTRERAS GAMEZ,Sistemas fotovoltaicos,1520SFV,2022-09-06,CALLE PRIMERA NO. 302 ,EL OJITAL,89364,Tamaulipas,contacto@isolar.com.mx,833 106 1056
GERMAN CRUZ HUERTA,Sistemas fotovoltaicos,1867SFV,2020-10-21,SN,ORIZABITA,42300,Hidalgo,dani7721445476@gmail.com,NINGUNO
GIRASOLVE SA DE CV,Sistemas fotovoltaicos,1882SFV,2021-03-29,VENUSTIANO CARRANZA 1003,CENTRO,67350,Nuevo León,jsalazar@girasolve.com,8126050865
GQ DISEÑO E INGENIERIA MECATRONICA ELECTRO MECANICA SA DE CV,Sistemas fotovoltaicos,1970SFV,2019-09-02,TAMARINDO DEL VALLE 133,VALLE DE LEON,37140,Guanajuato,wolfang.quintana@ingenieriaqg.com,4773303699
GREEN KIIN CONSULTORES SUSTENTABLES S.A.S. DE C.V.,Sistemas fotovoltaicos,2118SFV,2023-08-01,OBREROS DE RIO BLANCO 317,LA MAGDALENA,50010,Estado de México,"claudiagonzalez@greenkiin.com.mx, jc.vazquez@vasustentable.mx",722 826 0920
"GREEN POWER SOLUTIONS, S.A. DE C.V.",Sistemas fotovoltaicos,1978SFV,2020-06-26,JAVIER MINA #1144 SUR,CENTRO,35000,Durango,"gestion.gpowersol@gmail.com, karinacgpowersol@gmail.com",8711820608
GREENERGY ENERGIA NO CONVENCIONAL S. DE R.L. DE C.V.,Sistemas fotovoltaicos,1613SFV,2020-06-26,AV. CALZADA CENTRAL 280,CIUDAD GRANJA,45010,Jalisco,"c.ortiz@greenergy.com.mx, h.ortiz@greenergy.com.mx,",33 3070 1487
GREENGY MEXICO S.A. DE C.V.,Sistemas fotovoltaicos,2124SFV,2021-08-06,BLVD.LEYVA SOLANO 374,CENTRO,80000,Sinaloa,rcampos@greengy.com.mx,6671416222
GREENLIFE SYSTEMS SA DE CV,Sistemas fotovoltaicos,2139SFV,2021-12-17,INDEPENDENCIA SN CASA 1,MIRAVALLE,20909,Aguascalientes,ing.vidal@gmail.com,4491830181
GRUPO COYSEIN S.A. DE C.V.,Sistemas fotovoltaicos,1887SFV,2021-04-16,ISABEL LA CATOLICA No. 373,REFORMA,91919,Veracruz,info@coysein.com,01 229 960 7407
GRUPO ELECTROMULTIDISCIPLINARIO G DE TOLUCA SA DE CV,Sistemas fotovoltaicos,2211SFV,2022-06-08,DE LA ALTEZA 36,SOLIDARIDAD DE LOS ELECTRICISTAS,52168,Estado de México,ganaya570@gmail.com,7221969589
GRUPO ENERCAP SA DE CV,Sistemas fotovoltaicos,2018SFV,2022-09-23,CALZADA DEL VALLE OTE 255,DEL VALLE,66220,Nuevo León,alamo@capitalenergy.mx,8147802114
"GRUPO GOMELO, S.A. DE C.V.",Sistemas fotovoltaicos,1977SFV,2022-03-11,CALLE 10 NO. 350,SAN ROMAN,24040,CAMPECHE,grupogomelo@gmail.com,9818296372
GRUPO HOSPITALET SA DE CV,Sistemas fotovoltaicos,1886SFV,2023-06-13,MIGUEL HIDALGO 103,CENTRO,91700,Veracruz,pedro@ghgreen.com.mx,2292931397
GRUPO LEDCORP S DE RL DE CV ,Sistemas fotovoltaicos,1955SFV,2019-07-25,AV LOPEZ MATEOS 335 ,CIRCUNVALACION VALLARTA ,44680,Jalisco,edgar@brightsun.com.mx,www.brightsun.com.mx
"GRUPO LOESSA CONSULTORES, S.A. DE C.V. ",Sistemas fotovoltaicos,1899SFV,2021-09-10,MANUEL PEÑA Y PEÑA 374,CHAPULTEPEC NORTE,58260,MICHOACÁN,contacto@ecotecnia.com.mx,44331458000
GRUPO MEXSUS S.A. DE C.V.,Sistemas fotovoltaicos,1838SFV,2022-03-11,PERIFERICO PASEO DE LA REPUBLICA 2596 LOC 2,PRADOS DEL CAMPESTRE,58297,Michoacán," direccion@grupomexsus.com, annielau34@gmail.com",4433149923
GRUPO RADIOMETING SA DE CV,Sistemas fotovoltaicos,2120SFV,2021-07-16,EMILIANO ZAPATA 1001 LOCAL 12,ALVARO OBREGON,52105,Estado de México,javier@radiomet.net,7224028245
GRUPO RIMOLDI Y ASOCIADOS SC,Sistemas fotovoltaicos,1554SFV,2021-11-26,Calle Plan de San Luis  No. 1713,Mezquitan Country,44260,Jalisco,arimoldi@grya.com.mx,33 3823 2299
GRUPO SIMOSOL S.A. DE C.V.,Sistemas fotovoltaicos,1813SFV,2023-02-03,ORTÍZ MENA NO.3801,ABRAHAM GONZÁLEZ,31206,Chihuahua,jose.cabrera@simosol.com.mx,614 4332186
GRUPO T C TELE COM SA DE CV,Sistemas fotovoltaicos,1950SFV,2021-11-26,EMPRESA 146 INT. 304,EXTREMADURA INSURGENTES,3740,Distrito Federal,imarquez@grupotele.com,5554091080
GRUPO ZEOLIFE SA DE CV ,Sistemas fotovoltaicos,1901SFV,2019-01-24,ARCANGELO CORELLI 5004,PRADOS DE GUADALUPE,45030,Jalisco,cwrefrigeradores@gmail.com,3336102042
HECTOR GABRIEL QUINTERO TABARDILLO,Sistemas fotovoltaicos,2006SFV,2020-03-20,NICARAGUA 571,ESPERANZA,84060,Sonora,gabrielquintero@wattsgreen.com.mx,631 115 0989
HECTOR GERARDO NAVARRO GARCIA,Sistemas fotovoltaicos,1891SFV,2021-11-26,LAGO DE CUITZEO 197,VENTURA PUENTE,58020,Michoacán,hegenaga@yahoo.com.mx,4432731017
HECTOR MANUEL LOPEZ VELAZQUEZ,Sistemas fotovoltaicos,2308SFV,2023-08-01,SIERRA MOJADA NO. 25 B,LOMA BONITA,38610,Guanajuato,freesolar2021@gmail.com,4171601769
HELIOCOL DE MEXICO S.A. DE C.V.,"Calentadores solares, Sistemas fotovoltaicos",1601PIA,2020-08-07,BLV. TOLUCA No.14 y 16,SAN FRANSISCO CUAUTLALPAN,53370,Estado de México,"jchernicoff@heliocol.com.mx, asistenteventas@heliocol.com.mx",(55) 5576 4010
HELIOS ENERGIA SOLAR S. DE R.L. DE C.V.,Sistemas fotovoltaicos,1644SFV,2020-10-29,Juan Caballero y Osio No. 386  Int. 5,Calesa 1A Seccion,76020,Querétaro,urquizaenrique@gmail.com,01 442 234 5387
HELIOS TECNOLOGIA SOLAR S.A. DE C.V. ,Sistemas fotovoltaicos,1905SF,2019-02-07,CALZADA SAN PEDRO 223,MIRAVALLE,64660,Nuevo León,omaraguado@heliostecnologiasolar.net,8119335511
HELIOSUN SA DE CV,Sistemas fotovoltaicos,2206SFV,2022-03-11,CRUZ M VILLARREAL 3212,HIDALGO,64290,Nuevo León,l.garza@heliosun.mx,81 83 51 46 61
HOMERO OLIVARES ORTEGON,Sistemas fotovoltaicos,2107SFV,2021-04-16,BLVD HAROLD R. PAPE 801,OBRERA SUR,25790,Coahuila,"sebastianzert@gmail.com, viveco.facturas@outlook.com, ",8666320447
HV ENERGIAS SUSTENTABLES DE MEXICO SA DE CV,Sistemas fotovoltaicos,1873SFV,2020-10-29,EUCALIPTOS 316,REFORMA,68050,Oaxaca,ensumex@hotmail.com,9512060293
IDC INOVADORA Y DISEÑADORA DE CONSTRUCCION SA DE CV ,Sistemas fotovoltaicos,2003SFV,2023-02-03,NUEVA FRANCIA NO.413,PRADOS DE CUERNAVACA,62239,MORELOS,direccion.idc.inovadora@gmail.com,777 501 8313
IEGES S.A. DE C.V.,Sistemas fotovoltaicos,2012SFV,2020-06-26,TIJUANA 14,AMPLIACION REVOLUCION,60153,Michoacán,jrzramirez@hotmail.com,452 519 2493
IMPULSOR ELECTRICO S.A. DE C.V.,Sistemas fotovoltaicos,1627SFV,2022-09-06,CALLE 67 NO. 584 A,CENTRO,97000,Yucatán,jctorres@grupoimpulsor.com.mx,999 18  37 372
INBROTEK SERVICIOS S DE RL DE CV,Sistemas fotovoltaicos,2213SFV,2022-06-30,MOZART 717,OBISPADO,64060,Nuevo León,elangle@inbrotek.com,8183330365
INCOR INDUSTRIAL Y CORPORATIVE SOLUTIONS GROUP SA DE CV,Sistemas fotovoltaicos,1819SFV,2021-08-06,JOSE OBREGON 90 A,PIMENTEL,83188,Sonora,luispacheco@incorsolutions.com,662 2648885
INDUSTRIAS GUTIERREZ SA DE CV,Sistemas fotovoltaicos,1807SFV,2022-04-22,AVENIDA 8 DE JULIO 2495,ZONA INDUSTRIAL,44940,Jalisco,yamorab@depsa.com.mx,01 33 3268 2590
INGENIERIA EN SISTEMAS DE ENERGIA RENOVABLE SAPI DE CV,Sistemas fotovoltaicos,2013SFV,2021-12-17,CERRO DE LAS TORRES 136,COLINAS DEL CIMATARIO,76090,Querétaro,alejandrocp@ycsolar.mx,4422414811
INGENIERIA ENERGETICA INTEGRAL S.A. DE C.V.,"Aire acondicionado, Aire acondicionado, Aire acondicionado, Aire acondicionado, Aire acondicionado",1801PIA,2022-09-23,CALLE 32 NO. 406,SAN FRANCISCO XOCOTITLA,2960,Distrito Federal,"alfredo.aguilar@usa.net,adamealejandro@yahoo.com.mx , patriciaaimeeaguilar@gmail.com",(55) 5705 1706
INGENIERIA ENERGETICA SUSTENTABLE SA DE CV,Sistemas fotovoltaicos,2230SFV,2022-10-21,CALLE 32  #406,SAN FRANCISCO XOCOTITLA,2960,Distrito Federal,alfredo.aguilar@usa.net,5553558653
INGENIERIA Y CONSULTORIA EN RENOVABLES S.A. DE C.V.,Sistemas fotovoltaicos,1809SFV,2022-09-06,NOGAL NO. 22,ARBOLEDAS DE GUADALUPE,72260,Puebla,tordaz@proenergy.com.mx,222 4091 200
INGENIERIA Y DESARROLLO DE YUCATAN S.A. DE C.V.,Sistemas fotovoltaicos,2225SFV,2022-09-23,Calle 62 No. 309 K,Centro,97000,Yucatán,raul@riegointeligente.com,9999252491
INGENIERIA Y DESARROLLO EN ENERGIAS VERDES DE OCCIDENTE S.A. DE C.V. ,Sistemas fotovoltaicos,1604SFV,2021-09-24,PORTAL HIDALGO 17 C,CENTRO,47700,Jalisco,jcarlosimports@hotmail.com,378 712 0555
INGUANZO SA DE CV,Sistemas fotovoltaicos,1903PIA,2019-04-15,AVE HIDALGO 1001,ROSARIO,89176,Tamaulipas,eduardoinguanzo@yahoo.com,833 214 30 17 al 19
INSTALACIONES Y CONSTRUCCIONES ENERGETICAS SA DE CV,Sistemas fotovoltaicos,1965SFV,2019-08-19,101 No.414,Dolores Otero,97270,Yucatán,wilberthglez@icesureste.mx,9992862905
INSUMOS SOLARES SA DE CV ,Sistemas fotovoltaicos,1906SFV,2019-02-07,BROCA No 2605,PARQUE INDUSTRIAL EL ALAMO,44490,Jalisco,arcm@sunnergy.com.mx,3313804500
INTEGRACION DE ACCIONES ECOLOGICAS S.A. DE C.V.,Sistemas fotovoltaicos,1611SFV,2021-11-10,RUBÍ  NO. 8 INT. 6 ALTOS ,JACARANDAS,91634,Veracruz,mcervantes@grupocele.com,228 2374701
INTEGRADORES DE SOLUCIONES SOLARES S.A. DE C.V.,Sistemas fotovoltaicos,1980SFV,2022-03-11,LAS FLORES 106 A,JARDINES DE JEREZ,37530,GUANAJUATO,"federicovillalobosp@heliomex.com.mx, jaimemontesdeoca@heliomex.com.mx",4772111070
INTELIGENCIA EN AHORRO DE ENERGIA SA DE CV,Sistemas fotovoltaicos,2222SFV,2022-09-06,CALLE 2 NO. 5,LA VICTORIA,83304,Sonora,info@psenergia.com.mx,6622672381
INTELIPROYECTOS SUSTENTABLES DE OCCIDENTE S DE RL DE CV ,Sistemas fotovoltaicos,1928SFV,2023-03-01,VOLCAN DEL COLLI  2197,EL COLLI URBANO 1a SECCION,45070,Jalisco,josemanuel@zunne.mx,3331713049
INTERTEC ENERGIA SA DE CV,Sistemas fotovoltaicos,1968SFV,2022-06-08,QUETZALCOATL 100,AZTECA,34190,Durango,jp_torresala01@hotmail.com,6188264508
"INVENTIVE POWER, SAPI DE CV ","Calentadores solares, Sistemas fotovoltaicos",2002PIA,2020-06-26,CALLE VOLCAN COFRE DE PEROTE NO. 5189- A,EL COLLI URBANO,45070,Jalisco,angel.mejia@inventivepower.com.mx,01 33 1371 3125
IONE INTEGRAR Y OPTIMIZAR NUESTRA ENERGIA SA DE CV,Sistemas fotovoltaicos,1973SFV,2019-09-27,AV. 20 DE NOVIEMBRE 207 LOCAL 2,CAZONES,93230,Veracruz,ichew@ione.com.mx,7821606430
IRVING YUDEL GARCIA PEREZ,Sistemas fotovoltaicos,1706SFV,2021-04-16,CALLE PARQUE ESPAÑA  No. 249,BUENOS AIRES,64800,Nuevo León,irvingyudel@msn.com,01 81 2230 9010
"ISOLTEC DEL DESIERTO ,S. DE R.L. DE C.V.",Sistemas fotovoltaicos,2224SFV,2022-09-23,CALLE OBREGON 61 PTE,HEROICA CABORCA CENTRO,83600,SONORA,"isoltec.hernan@hotmail.com,",6373728244
ITENERGY DE MEXICO S.A. DE C.V.,Sistemas fotovoltaicos,1874SFV,2021-03-12,MONTECITO 38 INT. 15-10,NAPOLES,3810,Distrito Federal,rvelazquez@itenergy.com.mx,55 90011833
J. LUCIO FAUSTINO GRAJEDA VILLA,"Aire acondicionado, Sistemas fotovoltaicos",1805PIA,2021-02-05,JOSE GUADALUPE ZUNO NO. 537,CTM INFONAVIT,48318,Jalisco,faustinograjeda@gmail.com,322 29 34076
JACOB AND JACOB S.A. DE C.V.,Sistemas fotovoltaicos,1537SFV,2020-03-10,Gutenberg 230,Anzures,11590,Ciudad de México,jacob@prodigy.net.mx,5552500884
JAIME ARMANDO DE LA MORA ANGUIANO,Sistemas fotovoltaicos,2011SFV,2020-06-26,IGNACIO SANDOVAL 515 B,CENTRO,28000,Colima,materialeselectricosdecolima@gmail.com,312 3304517
JAVIER COLIN HERNANDEZ,Sistemas fotovoltaicos,1953SFV,2019-07-25,CARMELINO DELGADO 125,AMPL PERIODISTA,25080,Coahuila,coinsa31@gmail.com,8442584646
JAVIER TELLEZ ROBLES,Sistemas fotovoltaicos,2134SFV,2021-09-24,3 PONIENTE 316 D,BARRIO SAN JOSE,75150,Puebla,javier@fvsolar.com.mx,2491269281
JESUS ANTONIO CAMARA GRIMALDO ,Sistemas fotovoltaicos,1966SFV,2022-02-25,14 NO. 109,GARCIA GINERES,97070,YUCATÁN,chuchogrimaldo@hotmail.com,9993500711
JESUS COSIO SAINZ,Sistemas fotovoltaicos,1956SFV,2022-10-21,NORTE NO. 322,ZONA NORTE,85040,Sonora,hervesarmiento@hotmail.com,4186249
JIDOKA AUTOMATIZACION Y ENERGIA SA DE CV,Sistemas fotovoltaicos,1875SFV,2021-09-24,ARMANDO DEL CASTILLO FRANCO 418,PARQUE INDUSTRIAL LAGUNA,35078,Durango,a.avalos@jidoka.com.mx,8711750107
JORGE GERARDO ALDRETT MARQUEZ,Sistemas fotovoltaicos,1841SFV,2022-12-02,XINANTECATL 914-3,XINANTECATL ,52169,Estado de México,jorge@abcsolar.com.mx,01 722 118 3148
JOSE ALBERTO SARDA CUE,Sistemas fotovoltaicos,2005SFV,2020-03-20,PRIVADA IGNACIO ZARAGOZA  1208,ADOLFO LOPEZ MATEOS,72240,Puebla,fibrasmx@hotmail.com,2222356333
JOSE ALFARO VILLANUEVA,Sistemas fotovoltaicos,1853SFV,2021-09-10,BAHIA DE ACAPULCO 18 INT A,LA PEÑITA DE JALTEMBA CENTRO,63720,NAYARIT,jalfarov84@gmail.com,3272740219
JOSE CARLOS ESCOBOSA VERDUGO,Sistemas fotovoltaicos,1957SFV,2019-07-25,PISA NO. 5179,STANZA TOSCANA,80050,Sinaloa,isi_escobosa@hotmail.com,6674555982
JOSE GUADALUPE CARRILLO MARTINEZ,Sistemas fotovoltaicos,2214SFV,2022-06-30,SIN NOMBRE SIN NUMERO,EJIDO AMPLIACION DEL REFUGIO,87230,TAMAULIPAS,jose.gpe.carrillo.21@gmail.com,8342736121
JOSE IGNACIO JAVIER ALVAREZ ACERO,Sistemas fotovoltaicos,1949SFV,2019-07-12,AV. 5 DE FEBRERO #795 LOCAL 7,LA SIERRITA,76137,Querétaro,orto-solar@outlook.com,4422133376
JOSE LADISLAO SERRANO ANDRES,Sistemas fotovoltaicos,2307SFV,2023-08-01,LANGOSTINO 44,RODEO DE LA PUNTA,63110,Nayarit,ladislaos@live.com,3112181027
JOSE LUIS AMEZCUA CARVAJAL,Sistemas fotovoltaicos,2204SFV,2022-02-25,FRANCISCO GONZALEZ BOCA NEGRA 237,GUADALUPE VICTORIA,48317,JALISCO,luis.amezcua@disoler.mx,3223799080
JOSE SANTIAGO CARDENAS SAENZ,Sistemas fotovoltaicos,1812SFV,2020-11-18,CALLE 27 A  No. 1708 INT.B,SANTO NIÑO,31200,Chihuahua,mexico.solar@hotmail.com,614 165 0603 
JUAN CARLOS CASTILLO ROBLEDO,Sistemas fotovoltaicos,1948SFV,2021-10-13,AVENIDA VILLA DEL SOL  432,FRACCIONAMIENTO HACIENDA DE LOS MORALES,78438,San Luis Potosí,juancarloscastillo@castillosolar.com,4445355561
JUAN CARLOS PEREZ AMEZCUA,Sistemas fotovoltaicos,2102SFV,2023-07-13,BLVD. BUGAMBILIAS No. 2661 ,BUGAMBILIAS,45238,Jalisco,zonasolarmx@gmail.com,3315147404
JUAN MANUEL GOMEZ ESPARZA,Sistemas fotovoltaicos,1985SFV,2019-11-20,ESCUADRON 201,NUEVO AEROPUERTO,89337,Tamaulipas,CYPEM2015@GMAIL.COM,8331324692
JUAN OZIEL PASILLAS ORTIZ,Sistemas fotovoltaicos,2121SFV,2021-07-16,45,FRACCIONAMIENTO VIRREYES,58245,Michoacán,ozielortiz84@gmail.com,4142196670
KEYMEX SOLAR SAPI DE CV,Sistemas fotovoltaicos,2205SFV,2022-03-11,PRIVADA POTRERO DEL POZO,MISION DEL CARMEN,37296,Guanajuato,altosbajio2@gmail.com,4771945376
KLINIS S.C.,Sistemas fotovoltaicos,1982SFV,2022-09-23,PASEO OPERA NO.9 LOCAL E-5,LOMAS DE ANGELOPOLIS,72830,Puebla,klinisenergy@gmail.com,2216526928
LATITUD SOLAR DE MEXICO SAPI DE CV ," Diagnósticos energéticos integrales, Sistemas fotovoltaicos",1808PIA,2020-11-29,CALZADA DE LOS ANGELES 116A,CIUDAD GRANJA,45010,Jalisco,leonardo@energytec.com.mx,3336339362
LE-SOL-AR S.A. DE C.V.,Sistemas fotovoltaicos,1562SFV,2021-10-13,CALLE SARGENTO LUCIANO PONCE NO. 302 INT. B,PRADOS DEL SUR,20280,AGUASCALIENTES,"aleal@lesolar.com.mx, ing.fernandoglez@gmail.com",01 449 175 4037
LIDIA AZUCENA CORONADO DURAZO,Sistemas fotovoltaicos,2202SFV,2022-01-17,OTOMANO 59,PUERTA REAL RESIDENCIAL,83177,Sonora,"lidiacoronadodurazo@gmail.com, climasdelpitic@hotmail.com",6621078834
LIEVA INGENIERIA SERVICIOS Y SUMINISTROS ELECTRICOS S DE RL DE CV,Sistemas fotovoltaicos,1929SFV,2019-04-15,MEXICO N. 173,3 DE MAYO,62760,Morelos,isse.lieva@gmail.com,7771823676
LOGICA GLOBAL POSITIONING SYSTEM SA DE CV ,Sistemas fotovoltaicos,18100SFV,2018-12-21,VOLCAN ZACATECAS 2257,EL COLLI URBANO,45070,Jalisco,mlango@intralix.com,3336302780
LUIS ALBERTO ANDRADE CHAVEZ,Sistemas fotovoltaicos,2221SFV,2022-09-06,BAHIA DE SAN QUINTIN , RINCONADAS DE LA SIERRA,31124,Chihuahua,soland.energiasolar@gmail.com,6144378452
LUIS CARLOS DOMINGUEZ ROBLES,Sistemas fotovoltaicos,1831SFV,2021-09-24,CRISTOBAL DE ONTIVEROS No. 4018,SAN FRANCISCO,31115,Chihuahua,innovasolenergia@gmail.com,614 455 8392
LUIS MANUEL SANCHEZ IBARRA,Sistemas fotovoltaicos,1834SFV,2023-02-03,AMERICA 606,BRAVO,26030,Coahuila,enersolmx@gmail.com,8448804973
LUVERPRO SA DE CV,Sistemas fotovoltaicos,1954SFV,2022-10-21,INSURGENTES SUR 1431 PISO 10 INT A,INSURGENTES MIXCOAC,3920,Distrito Federal,"billy.sandoval@luverpro.com, ventas@luverpro.com",951 561 5792
LUX ENERGY INGENIERIA EN ENERGIAS RENOVABLES SA DE CV,Sistemas fotovoltaicos,2019SFV,2020-10-21,PRIVADA CHABACANOS No.  1,EL CARMEN,72850,Puebla,lux.energy.proyectos@gmail.com,2223016016
MAGA INSTALACIONES Y PROYECTOS ELECTRICOS SA de CV,Sistemas fotovoltaicos,2216SFV,2022-07-29,YACATAS 369,NARVARTE,3020,Distrito Federal,magallardo@maga.com.mx,55 5932 2916
MARCOS JAVIER CASTRO FIERRO,Sistemas fotovoltaicos,1967SFV,2021-03-29,AQUILES SERDAN ORIENTE NO. 965,TABACHINES UNO,81257,SINALOA,refrigeracion_serdan@hotmail.com,01 668 811 0588
MARIA DE LA LUZ GANDARILLA MARTINEZ,Sistemas fotovoltaicos,2137SFV,2021-10-29,REYNA FABIOLA 753 SUR,VILLA DEL REAL,80247,SINALOA,systec.solar@hotmail.com,6672096115
MARIA DE LOS REMEDIOS GIL VALLE,Sistemas fotovoltaicos,1944SFV,2019-06-27,EL PINO S/N,2 DE ABRIL,50450,Estado de México,igonzalez@gygsolar.com,7222137580
MARIA GUADALUPE FLORES VAZQUEZ,Sistemas fotovoltaicos,2218SFV,2022-07-29,VICENTE GUERRERO 172,HUATABAMPO CENTRO,85900,Sonora,servicioselectricos1@hotmail.com,6471153665
MARIO ANDRES CRUZ ORTEGA,Sistemas fotovoltaicos,2138SFV,2021-10-29,5 DE MAYO No. 309 Int. A y C,CENTRO,95700,Veracruz,cruz@efcuantum.com,294 1050 366
MARSAM SOLUCIONES AMBIENTALES S.A. DE C.V.,Sistemas fotovoltaicos,1832SFV,2020-10-29,GENERAL CANO No. 27 PISO 1,SAN MIGUEL CHAPULTEPEC,11850,Distrito Federal,info@marsamsolar.com  mehm@marsamsolar.com  ,(55) 5272 1633
MAS NEGOCIOS Y DESARROLLOS SA DE CV,Sistemas fotovoltaicos,2219SFV,2022-09-06,AVENIDA BENITO JUAREZ 217 SUR,ZONA CENTRO,81400,Sinaloa,alfredo@torke.com.mx,66737324515
"MLB TECHNOLOGIES, S.A. DE C.V.",Sistemas fotovoltaicos,1947SFV,2021-08-06,AV. PASEO DE LOS LEONES 1663,LAS CUMBRES 1 SECTOR,64610,NUEVO LEÓN,info@greenlux.com.mx,8120819312
MULTISERVICIOS VALLE DEL TANGAMANGA SA DE CV,Sistemas fotovoltaicos,1975SFV,2019-10-24,Boca Negra 406 F,Centro,78700,San Luis Potosí,comercializacion@multivalle.com.mx,8334398722
NEGOCIOS RENOVABLES INTELIGENTES SA DE CV,Sistemas fotovoltaicos,2201SFV,2022-01-17,MONTES URALES 460 PISO 3,LOMAS DE CHAPULTEPEC III SECCION,11000,Distrito Federal,jareynes@gdragon.com.mx,55 8537 4400
NOE CANALES SOLIS,Sistemas fotovoltaicos,2227SFV,2022-09-23,PASEO VILLISTAS OTE 61,TORREMOLINOS,45130,Jalisco,irving.gyek@gmail.com,3334078236
"NOTEND TECHNOLOGY GROUP, S.A. DE C.V.",Sistemas fotovoltaicos,2017SFV,2020-09-17,PRIMAVERA NO. 75,SANTA ANA TEPETITLÁN,45230,Jalisco,carlos.cortes@notend.com.mx,3319846987
OCTAVIO LARIOS AVILA,Sistemas fotovoltaicos,1907SFV,2019-02-07,CIRCUITO MONTE DE  SANTA ELENA 83,RINCON DEL PARAISO,58096,Michoacán,octaviolarios@elec.mx,4434101511
ODG ENERGY SAPI DE CV,Sistemas fotovoltaicos,2231SFV,2022-10-21,PASEO DEL CRISTO 1292 INTERIOR LOCAL 5,CLUB DE GOLF EL CRISTO,74293,Puebla,omar.soto@odgenergy.mx,2444456666
OSCAR AXEL RUIZ NIETO,Sistemas fotovoltaicos,2113SFV,2023-08-01,JUAN ANDREW ALMAZAN 536,OCHO CEDROS,50170,Estado de México,contacto@runisun.mx,7222778919
OSCAR RAMIREZ SANCHEZ,Sistemas fotovoltaicos,1912SFV,2019-02-28,PASEO LAZARO CARDENAS 443 C,FERROCARRILERA,60150,Michoacán,contacto.solinnova@gmail.com,4521217876
"OSOLEC, S.A. DE C.V.",Sistemas fotovoltaicos,2014SFV,2022-09-06,AV SAN LUIS POTOSI NO. 141,5 DE MAYO,83010,Sonora,jorgeothon@osolec.com,662 2130 777
PAULINO GERMAN OLIVAS,Sistemas fotovoltaicos,1911SFV,2021-12-17,PERIMETRAL No. 1668 Local 13,CASA BONITA,83177,Sonora,direccion@pgdistribuciones.com,662 177 1459
PEDRO JOSE LOPEZ MARTINEZ,Sistemas fotovoltaicos,2116SFV,2021-06-18,AVENIDA LUIS DONALDO COLOSIO # 5,SAN JOSE,24040,Campeche,contacto@sunnyca.mx,9811687859
PERLA BEATRIZ GONZALEZ GUTIERREZ,Sistemas fotovoltaicos,1617SFV,2021-09-10,PERAS 455,RINCON DE SAYAVEDRA,25207,Coahuila,perla.gonzalez@energysavermx.com,844 439 8664
PLANTAS SOLARES S.A. DE C.V.,Sistemas fotovoltaicos,1524SFV,2019-07-25,YUCATAN ENTRE OAXACA Y JALISCO 3415,DOMINGO CARBALLO FELIX,23070,Baja California Sur,orozco@plantassolares.com.mx,6121254151
POTENCIA CONTROL Y DISTRIBUCION S.A. DE C.V.,Sistemas fotovoltaicos,1890SFV,2021-06-18,PALENQUE NO. 647,CALICHAL,29026,CHIAPAS,dmora@pcdingenieria.com.mx,01 961 125 0103
PRODUCTOS SUSTENTABLES DE MEXICO S.A. DE C.V.,Sistemas fotovoltaicos,1725SFV,2020-03-20,RIO USUMACINTA NO. 206 A,HIDRAULICA,98060,Zacatecas,esalas@thegreenhomecenter.com,01 492 921 0391
